#code for	loc	lim	C type	Var name	GetSet name	name	default	description	test	value on fail	test…			
s	2	mgmsstgfeqed	std::string	v_Zoom	:	Zoom	1	Zoom factor (= 2/radius)						
x	2	!mgmsedsc	CFixedFloat	:	:	CenterRe	0	Real part of center						
x	2	!mgmsedsc	CFixedFloat	:	:	CenterIm	0	Imaginary part of center						
x	2	!mgmsed	CFixedFloat	:	:	ZoomRadius	1	Zoom factor (= 2/radius)						
i	2	!mgmsedeqdidv		m_nZoom	ZoomExponent	nZoom		Zoom exponent						
i	2	!mgmsedeq		m_digits10	Digits10	Digits10	10	decimal precision						
i	2	:	int64_t	m_nMaxIter	Iterations	Iterations	200	Iteration limit	10<_X_	200				
f	1	:	:	m_nIterDiv	:	IterDiv	.01							
E	1	:	ColorMethod	m_nColorMethod	:	ColorMethod	7	XXX	0<=_X_	0	_X_<=11	0		
E	1	:	Differences	m_nDifferences	:	Differences	3	XXX	0<=_X_	0	_X_<=7	0		
i	1	:	:	m_nColorOffset	:	ColorOffset	0	XXX	0<=_X_	_X_&1023	_X_<1024	_X_&1023		
f	1	:	:	m_nPhaseColorStrength	PhaseColorStrength	ColorPhaseStrength	0	XXX						
i	2	!stsc	:	m_nFractalType	:	FractalType	0	XXX	0<=_X_					
i	2	:	:	m_nPower	:	Power	2	XXX	0<_X_	2				
i	2	:	:	m_bTriangleInequalityAverage	:	TriangleInequalityAverage	0	XXX						
b	1	:	:	m_bTrans	Transition	Smooth	true	XXX						
b	1	:	:	m_bFlat	:	Flat	false	XXX						
b	1	:	:	m_bITrans	ITransition	InvTransition	false	XXX						
i	1	mgmsed	:	v_SmoothMethod	:	SmoothMethod	0	compatibility with old files	0<=_X_	0	_X_<=1	0		
i	1	msed	:	v_SmoothingMethod	:	SmoothingMethod	0	XXX	0<=_X_	0	_X_<=1	0		
i	1	!msed	:	m_nSmoothMethod	SmoothMethod	SmoothingMethod	0	XXX	0<=_X_	0	_X_<=1	0		
E	1	:	BailoutRadiusPreset	m_nBailoutRadiusPreset	:	BailoutRadiusPreset	0	XXX	0<=_X_	0	_X_<=3	0		
f	1	:	:	m_nBailoutRadiusCustom	:	BailoutRadiusCustom	0	XXX	0<=_X_	0				
b	1	:	:	m_bSlopes	:	Slopes	1	XXX						
i	1	:	:	m_nSlopePower	:	SlopePower	50	XXX	1<=_X_	1				
i	1	:	:	m_nSlopeRatio	:	SlopeRatio	20	XXX	0<=_X_	0	_X_<100	100		
i	1	:	:	m_nSlopeAngle	:	SlopeAngle	45	XXX	0<=_X_	0	_X_<360	0		
f	2	:	:	:	BailoutReal	real	1	XXX						
f	2	:	:	:	BailoutImag	imag	1	XXX						
E	2	:	BailoutNormPreset	m_nBailoutNormPreset	:	BailoutNormPreset	0	XXX	0<=_X_	1	_X_<=3	1		
f	2	:	:	m_nBailoutNormCustom	:	BailoutNormCustom	0	XXX	0<=_X_	0				
f	2	:	:	:	:	SeedR	0	XXX						
f	2	:	:	:	:	SeedI	0	XXX						
f	2	:	:	:	:	FactorAR	1	XXX						
f	2	:	:	:	:	FactorAI	0	XXX						
i	2	:	int64_t	m_Period	Period	period	0	XXX	0<=_X_	0				
L	1	:	ColorArray	m_cKeys:m_nParts	KeyColors:NumOfColors	Colors	"255,255,255,128,0,64,160,0,0,192,128,0,64,128,0,0,255,255,64,128,255,0,0,255,"	Color table	_X_.size()>1					
b	1	:	:	m_bMW	MW	MultiColor	0	XXX						
L	1	:	MultiWaveArray	m_MW:m_nMW	MultiColors:NumMultiColors	MultiColors		XXX						
b	1	:	:	m_bBlend	:	BlendMC	false	Color blending						
S	1	:	COLOR14	m_cInterior	:	InteriorColor	0,0,0	'Color of the Mandelbrot set''s interior'						
b	1	:	:	m_bTexture	:	TextureEnabled	false							
f	1	:	:	m_nImgMerge	:	TextureMerge	0	:						
f	1	:	:	m_nImgPower	:	TexturePower	0							
i	1	:	:	m_nImgRatio	:	TextureRatio	0							
s	1	:	:	m_szTexture	:	TextureFile								
b	1	:	:	m_bTextureResize	:	TextureResize	0							
b	1	:	:	m_bUseOpenGL	:	UseOpenGL	false							
s	1	!mgmsed	:	m_sGLSL	:	GLSL	"vec3 colour() { return KF_Colour(); }"							
s	1	mgmsed	:	v_GLSL	:	GLSL								
b	1	:	:	m_bUseSRGB	:	UseSRGB	false							
b	2	:	:	:	:	UseHybridFormula	false							
S	2	:	hybrid_formula	:	:	HybridFormula								
f	2	mgmsed	:	v_RotateAngle	:	RotateAngle	0							
f	2	mgmsed	:	v_StretchAngle	:	StretchAngle	0							
f	2	mgmsed	:	v_StretchAmount	:	StretchAmount	0							
b	2	mgmsed	:	v_ImagPointsUp	:	ImagPointsUp	false							
S	2	!mgmsdvscedst	mat2	:		TransformMatrix								
S	2	!mgmsdvscedst	polar2	:		TransformPolar								
i	1	!mgmsedeq		m_nSeed		Seed	-1	Random seed						
i	1	mgmsed	:	v_version	:	Version	0	File version						
i	0	mgmsed	:	v_settings_version	:	SettingsVersion	0	File version						
														
														
# legacy														
b	0	hredmgms	:		:	UseArgMinAbsZAsGlitchCenter	0	new: GlitchCenterMethod=1						
f	2	-			:	Rotate	0	no longer used						
f	2	-	:		:	Ratio	0	no longer used						
#														
#	loc:													
#	0	general												
#	1	Fractal specific, excluding location												
#	2	actual location												
#														
# Flags are b/i/f for bool/int/float.														
# E is an enum type named for the type in question.														
# F are flag bits named for the type in question.														
'# The name after the : is the enum prefix, if it''s not the var name.'														
# Tests are repeated; the setter fails (i.e. returns False) if the														
'# subsequent default value doesn''t match the test.'														
# 														
#			0	fast										
#			1	default										
#			2	good										
#			3	sRGB										
#														
#			0	R		red								
#			1	G		green								
#			2	B		blue								
#			3	N										
#			4	NF										
#			5	DEX		derivative in X								
#			6	DEY		derivative in Y								
#			7	T										
#			8	Preview										
#														
#			0	Single										
#			1	Double										
#			2	LongDouble										
#			3	Quad										
#			4	FloatExpSingle										
#			5	FloatExpDouble										
#			6	RescaledSingle										
#			7	RescaledDouble										
